"VECTOR","TARGET"
"chr11:10436237-10436535_10_-","chr11:10436237-10436535"
"chr11:10436237-10436535_17_-","chr11:10436237-10436535"
"chr11:10466273-10466656_5_-","chr11:10466273-10466656"
"chr11:10466273-10466656_6_-","chr11:10466273-10466656"
"chr11:10466273-10466656_27_-","chr11:10466273-10466656"
"chr11:10466273-10466656_4_+","chr11:10466273-10466656"
"chr11:10476195-10478423_104_-","chr11:10476195-10478423"
"chr11:10476195-10478423_16_+","chr11:10476195-10478423"
"chr11:10476195-10478423_15_+","chr11:10476195-10478423"
"chr11:10476195-10478423_52_+","chr11:10476195-10478423"
"chr11:10511739-10511825_3_-","chr11:10511739-10511825"
"chr11:10511739-10511825_1_-","chr11:10511739-10511825"
"chr11:10511739-10511825_2_-","chr11:10511739-10511825"
"chr11:10511851-10512594_9_-","chr11:10511851-10512594"
"chr11:10511851-10512594_10_-","chr11:10511851-10512594"
"chr11:10511851-10512594_17_+","chr11:10511851-10512594"
"chr11:10511851-10512594_24_-","chr11:10511851-10512594"
"chr11:1053254-1053594_24_-","chr11:1053254-1053594"
"chr11:1053254-1053594_17_-","chr11:1053254-1053594"
"chr11:1053254-1053594_19_-","chr11:1053254-1053594"
"chr11:1053254-1053594_29_-","chr11:1053254-1053594"
"chr11:10590201-10590481_17_-","chr11:10590201-10590481"
"chr11:10590201-10590481_2_+","chr11:10590201-10590481"
"chr11:10590201-10590481_13_+","chr11:10590201-10590481"
"chr11:10590201-10590481_12_-","chr11:10590201-10590481"
"chr11:10603286-10603536_4_-","chr11:10603286-10603536"
"chr11:10603286-10603536_5_-","chr11:10603286-10603536"
"chr11:10603286-10603536_13_-","chr11:10603286-10603536"
"chr11:10603286-10603536_7_+","chr11:10603286-10603536"
"chr11:10604488-10604747_7_+","chr11:10604488-10604747"
"chr11:10604488-10604747_4_+","chr11:10604488-10604747"
"chr11:10604488-10604747_11_+","chr11:10604488-10604747"
"chr11:10604488-10604747_16_+","chr11:10604488-10604747"
"chr11:10605668-10606127_23_-","chr11:10605668-10606127"
"chr11:10605668-10606127_3_+","chr11:10605668-10606127"
"chr11:10605668-10606127_5_+","chr11:10605668-10606127"
"chr11:10605668-10606127_5_-","chr11:10605668-10606127"
"chr11:10608307-10608458_2_+","chr11:10608307-10608458"
"chr11:10608307-10608458_2_-","chr11:10608307-10608458"
"chr11:10608307-10608458_4_-","chr11:10608307-10608458"
"chr11:10608307-10608458_1_+","chr11:10608307-10608458"
"chr11:10610317-10610893_3_-","chr11:10610317-10610893"
"chr11:10610317-10610893_6_-","chr11:10610317-10610893"
"chr11:10610317-10610893_4_-","chr11:10610317-10610893"
"chr11:10610317-10610893_12_-","chr11:10610317-10610893"
"chr11:10619364-10619838_9_-","chr11:10619364-10619838"
"chr11:10619364-10619838_16_+","chr11:10619364-10619838"
"chr11:10619364-10619838_19_+","chr11:10619364-10619838"
"chr11:10619364-10619838_24_-","chr11:10619364-10619838"
"chr11:10627591-10627881_9_+","chr11:10627591-10627881"
"chr11:10627591-10627881_5_+","chr11:10627591-10627881"
"chr11:10627591-10627881_4_+","chr11:10627591-10627881"
"chr11:10627591-10627881_13_-","chr11:10627591-10627881"
"chr11:10663347-10663503_3_-","chr11:10663347-10663503"
"chr11:10663347-10663503_2_-","chr11:10663347-10663503"
"chr11:10663347-10663503_6_+","chr11:10663347-10663503"
"chr11:10663347-10663503_4_-","chr11:10663347-10663503"
"chr11:10666869-10667270_2_+","chr11:10666869-10667270"
"chr11:10666869-10667270_12_+","chr11:10666869-10667270"
"chr11:10666869-10667270_15_-","chr11:10666869-10667270"
"chr11:10666869-10667270_11_+","chr11:10666869-10667270"
"chr11:10667612-10667813_10_+","chr11:10667612-10667813"
"chr11:10667612-10667813_9_+","chr11:10667612-10667813"
"chr11:10667612-10667813_15_-","chr11:10667612-10667813"
"chr11:10667612-10667813_14_-","chr11:10667612-10667813"
"chr11:10669190-10669342_7_+","chr11:10669190-10669342"
"chr11:10669190-10669342_1_-","chr11:10669190-10669342"
"chr11:10669190-10669342_2_+","chr11:10669190-10669342"
"chr11:10669190-10669342_4_-","chr11:10669190-10669342"
"chr11:10675821-10676152_3_-","chr11:10675821-10676152"
"chr11:10675821-10676152_10_-","chr11:10675821-10676152"
"chr11:10675821-10676152_14_-","chr11:10675821-10676152"
"chr11:10675821-10676152_6_+","chr11:10675821-10676152"
"chr11:10678961-10679343_9_-","chr11:10678961-10679343"
"chr11:10678961-10679343_7_-","chr11:10678961-10679343"
"chr11:10678961-10679343_5_-","chr11:10678961-10679343"
"chr11:10678961-10679343_15_+","chr11:10678961-10679343"
"chr11:10681213-10681725_21_+","chr11:10681213-10681725"
"chr11:10681213-10681725_22_-","chr11:10681213-10681725"
"chr11:10681213-10681725_21_-","chr11:10681213-10681725"
"chr11:10681213-10681725_19_+","chr11:10681213-10681725"
"chr11:10687363-10687475_2_-","chr11:10687363-10687475"
"chr11:10687363-10687475_1_+","chr11:10687363-10687475"
"chr11:10687363-10687475_3_-","chr11:10687363-10687475"
"chr11:10687363-10687475_1_-","chr11:10687363-10687475"
"chr11:10688058-10688376_10_+","chr11:10688058-10688376"
"chr11:10688058-10688376_8_+","chr11:10688058-10688376"
"chr11:10688058-10688376_7_+","chr11:10688058-10688376"
"chr11:10688058-10688376_12_+","chr11:10688058-10688376"
"chr11:10729771-10729973_21_-","chr11:10729771-10729973"
"chr11:10729771-10729973_17_-","chr11:10729771-10729973"
"chr11:10729771-10729973_1_-","chr11:10729771-10729973"
"chr11:10729771-10729973_14_-","chr11:10729771-10729973"
"chr11:10737566-10738282_17_-","chr11:10737566-10738282"
"chr11:10737566-10738282_9_+","chr11:10737566-10738282"
"chr11:10737566-10738282_10_+","chr11:10737566-10738282"
"chr11:10737566-10738282_2_+","chr11:10737566-10738282"
"chr11:10738286-10738854_24_+","chr11:10738286-10738854"
"chr11:10738286-10738854_26_+","chr11:10738286-10738854"
"chr11:10738286-10738854_33_-","chr11:10738286-10738854"
"chr11:10738286-10738854_8_-","chr11:10738286-10738854"
"chr11:10746948-10747245_2_+","chr11:10746948-10747245"
"chr11:10746948-10747245_6_+","chr11:10746948-10747245"
"chr11:10746948-10747245_1_-","chr11:10746948-10747245"
"chr11:10746948-10747245_4_+","chr11:10746948-10747245"
"chr11:10757043-10757730_4_+","chr11:10757043-10757730"
"chr11:10757043-10757730_10_-","chr11:10757043-10757730"
"chr11:10757043-10757730_3_+","chr11:10757043-10757730"
"chr11:10757043-10757730_9_-","chr11:10757043-10757730"
"chr11:10757740-10757901_4_+","chr11:10757740-10757901"
"chr11:10757740-10757901_2_+","chr11:10757740-10757901"
"chr11:10757740-10757901_5_-","chr11:10757740-10757901"
"chr11:10757740-10757901_6_-","chr11:10757740-10757901"
"chr11:10764360-10764760_10_+","chr11:10764360-10764760"
"chr11:10764360-10764760_11_-","chr11:10764360-10764760"
"chr11:10764360-10764760_18_+","chr11:10764360-10764760"
"chr11:10764360-10764760_12_+","chr11:10764360-10764760"
"chr11:10765342-10765401_1_+","chr11:10765342-10765401"
"chr11:10765763-10766134_6_+","chr11:10765763-10766134"
"chr11:10765763-10766134_13_-","chr11:10765763-10766134"
"chr11:10765763-10766134_5_+","chr11:10765763-10766134"
"chr11:10765763-10766134_4_+","chr11:10765763-10766134"
"chr11:10808093-10808274_7_+","chr11:10808093-10808274"
"chr11:10808093-10808274_4_-","chr11:10808093-10808274"
"chr11:10808093-10808274_1_+","chr11:10808093-10808274"
"chr11:10808093-10808274_6_+","chr11:10808093-10808274"
"chr11:10844722-10845239_17_+","chr11:10844722-10845239"
"chr11:10844722-10845239_14_-","chr11:10844722-10845239"
"chr11:10844722-10845239_11_-","chr11:10844722-10845239"
"chr11:10844722-10845239_20_+","chr11:10844722-10845239"
"chr11:10846421-10846733_12_-","chr11:10846421-10846733"
"chr11:10846421-10846733_16_+","chr11:10846421-10846733"
"chr11:10846421-10846733_15_+","chr11:10846421-10846733"
"chr11:10846421-10846733_8_+","chr11:10846421-10846733"
"chr11:10860512-10860817_4_+","chr11:10860512-10860817"
"chr11:10860512-10860817_9_-","chr11:10860512-10860817"
"chr11:10860512-10860817_3_-","chr11:10860512-10860817"
"chr11:10860512-10860817_13_-","chr11:10860512-10860817"
"chr11:10888505-10889036_5_+","chr11:10888505-10889036"
"chr11:10888505-10889036_21_+","chr11:10888505-10889036"
"chr11:10888505-10889036_1_-","chr11:10888505-10889036"
"chr11:10888505-10889036_20_+","chr11:10888505-10889036"
"chr11:10900213-10900722_9_+","chr11:10900213-10900722"
"chr11:10900213-10900722_28_-","chr11:10900213-10900722"
"chr11:10900213-10900722_8_+","chr11:10900213-10900722"
"chr11:10900213-10900722_27_-","chr11:10900213-10900722"
"chr11:10916137-10916669_10_-","chr11:10916137-10916669"
"chr11:10916137-10916669_18_+","chr11:10916137-10916669"
"chr11:10916137-10916669_29_+","chr11:10916137-10916669"
"chr11:10916137-10916669_20_+","chr11:10916137-10916669"
"chr11:10920791-10922671_9_+","chr11:10920791-10922671"
"chr11:10920791-10922671_96_+","chr11:10920791-10922671"
"chr11:10920791-10922671_117_+","chr11:10920791-10922671"
"chr11:10920791-10922671_74_+","chr11:10920791-10922671"
"chr11:10923129-10923226_2_-","chr11:10923129-10923226"
"chr11:10923129-10923226_3_-","chr11:10923129-10923226"
"chr11:10924350-10924605_6_-","chr11:10924350-10924605"
"chr11:10924350-10924605_9_-","chr11:10924350-10924605"
"chr11:10924350-10924605_9_+","chr11:10924350-10924605"
"chr11:10924350-10924605_10_-","chr11:10924350-10924605"
"chr11:10930161-10930434_13_-","chr11:10930161-10930434"
"chr11:10930161-10930434_15_-","chr11:10930161-10930434"
"chr11:10930161-10930434_9_+","chr11:10930161-10930434"
"chr11:10930161-10930434_6_-","chr11:10930161-10930434"
"chr11:10941571-10942237_6_+","chr11:10941571-10942237"
"chr11:10941571-10942237_6_-","chr11:10941571-10942237"
"chr11:10941571-10942237_14_+","chr11:10941571-10942237"
"chr11:10941571-10942237_4_-","chr11:10941571-10942237"
"chr11:10955279-10957033_82_-","chr11:10955279-10957033"
"chr11:10955279-10957033_49_+","chr11:10955279-10957033"
"chr11:10955279-10957033_44_+","chr11:10955279-10957033"
"chr11:10955279-10957033_5_+","chr11:10955279-10957033"
"chr11:11011348-11011579_5_+","chr11:11011348-11011579"
"chr11:11011348-11011579_7_-","chr11:11011348-11011579"
"chr11:11011348-11011579_6_+","chr11:11011348-11011579"
"chr11:11011348-11011579_9_+","chr11:11011348-11011579"
"chr11:11011699-11012074_12_-","chr11:11011699-11012074"
"chr11:11011699-11012074_9_-","chr11:11011699-11012074"
"chr11:11011699-11012074_20_-","chr11:11011699-11012074"
"chr11:11011699-11012074_13_-","chr11:11011699-11012074"
"chr11:11042303-11042695_24_-","chr11:11042303-11042695"
"chr11:11042303-11042695_12_-","chr11:11042303-11042695"
"chr11:11042303-11042695_7_+","chr11:11042303-11042695"
"chr11:11042303-11042695_9_+","chr11:11042303-11042695"
"chr11:1147888-1148250_22_-","chr11:1147888-1148250"
"chr11:1147888-1148250_28_+","chr11:1147888-1148250"
"chr11:1147888-1148250_38_+","chr11:1147888-1148250"
"chr11:1147888-1148250_26_-","chr11:1147888-1148250"
"chr11:11820390-11820703_14_-","chr11:11820390-11820703"
"chr11:11820390-11820703_29_-","chr11:11820390-11820703"
"chr11:11820390-11820703_26_-","chr11:11820390-11820703"
"chr11:11820390-11820703_20_-","chr11:11820390-11820703"
"chr11:11832278-11833460_60_+","chr11:11832278-11833460"
"chr11:11832278-11833460_36_-","chr11:11832278-11833460"
"chr11:11832278-11833460_57_+","chr11:11832278-11833460"
"chr11:11832278-11833460_19_-","chr11:11832278-11833460"
"chr11:11834885-11835163_10_+","chr11:11834885-11835163"
"chr11:11834885-11835163_1_-","chr11:11834885-11835163"
"chr11:11834885-11835163_2_-","chr11:11834885-11835163"
"chr11:11834885-11835163_6_-","chr11:11834885-11835163"
"chr11:11836212-11836753_20_-","chr11:11836212-11836753"
"chr11:11836212-11836753_28_+","chr11:11836212-11836753"
"chr11:11836212-11836753_32_-","chr11:11836212-11836753"
"chr11:11836212-11836753_14_-","chr11:11836212-11836753"
"chr11:11838010-11838644_13_+","chr11:11838010-11838644"
"chr11:11838010-11838644_22_+","chr11:11838010-11838644"
"chr11:11838010-11838644_14_+","chr11:11838010-11838644"
"chr11:11838010-11838644_28_+","chr11:11838010-11838644"
"chr11:11866638-11867016_19_-","chr11:11866638-11867016"
"chr11:11866638-11867016_21_-","chr11:11866638-11867016"
"chr11:11866638-11867016_5_+","chr11:11866638-11867016"
"chr11:11866638-11867016_24_-","chr11:11866638-11867016"
"chr11:11870768-11871325_8_-","chr11:11870768-11871325"
"chr11:11870768-11871325_16_-","chr11:11870768-11871325"
"chr11:11870768-11871325_5_-","chr11:11870768-11871325"
"chr11:11870768-11871325_2_-","chr11:11870768-11871325"
"chr11:11881756-11882242_13_-","chr11:11881756-11882242"
"chr11:11881756-11882242_14_-","chr11:11881756-11882242"
"chr11:11881756-11882242_6_-","chr11:11881756-11882242"
"chr11:11881756-11882242_11_-","chr11:11881756-11882242"
"chr11:11887752-11888134_9_+","chr11:11887752-11888134"
"chr11:11887752-11888134_14_+","chr11:11887752-11888134"
"chr11:11887752-11888134_2_-","chr11:11887752-11888134"
"chr11:11887752-11888134_7_+","chr11:11887752-11888134"
"chr11:12039321-12039999_24_-","chr11:12039321-12039999"
"chr11:12039321-12039999_42_-","chr11:12039321-12039999"
"chr11:12039321-12039999_41_-","chr11:12039321-12039999"
"chr11:12039321-12039999_28_-","chr11:12039321-12039999"
"chr11:12042016-12042267_4_+","chr11:12042016-12042267"
"chr11:12042016-12042267_10_+","chr11:12042016-12042267"
"chr11:12042016-12042267_1_+","chr11:12042016-12042267"
"chr11:12042016-12042267_3_+","chr11:12042016-12042267"
"chr11:12063856-12064187_8_-","chr11:12063856-12064187"
"chr11:12063856-12064187_7_-","chr11:12063856-12064187"
"chr11:12063856-12064187_14_+","chr11:12063856-12064187"
"chr11:12063856-12064187_15_+","chr11:12063856-12064187"
"chr11:12065449-12066146_13_+","chr11:12065449-12066146"
"chr11:12065449-12066146_23_+","chr11:12065449-12066146"
"chr11:12065449-12066146_18_-","chr11:12065449-12066146"
"chr11:12065449-12066146_40_+","chr11:12065449-12066146"
"chr11:12068945-12069447_14_+","chr11:12068945-12069447"
"chr11:12068945-12069447_34_-","chr11:12068945-12069447"
"chr11:12068945-12069447_30_-","chr11:12068945-12069447"
"chr11:12068945-12069447_29_-","chr11:12068945-12069447"
"chr11:12074865-12075003_9_+","chr11:12074865-12075003"
"chr11:12074865-12075003_8_+","chr11:12074865-12075003"
"chr11:12074865-12075003_1_-","chr11:12074865-12075003"
"chr11:12074865-12075003_2_-","chr11:12074865-12075003"
"chr11:12087766-12088297_8_+","chr11:12087766-12088297"
"chr11:12087766-12088297_4_+","chr11:12087766-12088297"
"chr11:12087766-12088297_23_-","chr11:12087766-12088297"
"chr11:12087766-12088297_22_-","chr11:12087766-12088297"
"chr11:12109759-12110081_3_+","chr11:12109759-12110081"
"chr11:12109759-12110081_5_-","chr11:12109759-12110081"
"chr11:12109759-12110081_4_+","chr11:12109759-12110081"
"chr11:12109759-12110081_22_-","chr11:12109759-12110081"
"chr11:12111603-12111934_38_-","chr11:12111603-12111934"
"chr11:12111603-12111934_12_-","chr11:12111603-12111934"
"chr11:12111603-12111934_6_+","chr11:12111603-12111934"
"chr11:12111603-12111934_32_-","chr11:12111603-12111934"
"chr11:12116385-12116946_23_+","chr11:12116385-12116946"
"chr11:12116385-12116946_24_+","chr11:12116385-12116946"
"chr11:12116385-12116946_9_+","chr11:12116385-12116946"
"chr11:12116385-12116946_15_-","chr11:12116385-12116946"
"chr11:12120850-12121353_11_-","chr11:12120850-12121353"
"chr11:12120850-12121353_24_+","chr11:12120850-12121353"
"chr11:12120850-12121353_17_+","chr11:12120850-12121353"
"chr11:12120850-12121353_28_+","chr11:12120850-12121353"
"chr11:12132691-12132808_9_-","chr11:12132691-12132808"
"chr11:12132691-12132808_17_-","chr11:12132691-12132808"
"chr11:12132691-12132808_7_-","chr11:12132691-12132808"
"chr11:12132691-12132808_3_+","chr11:12132691-12132808"
"chr11:12133217-12133350_4_+","chr11:12133217-12133350"
"chr11:12133217-12133350_6_-","chr11:12133217-12133350"
"chr11:12133217-12133350_5_+","chr11:12133217-12133350"
"chr11:12133217-12133350_7_+","chr11:12133217-12133350"
"chr11:12136053-12136690_21_-","chr11:12136053-12136690"
"chr11:12136053-12136690_22_+","chr11:12136053-12136690"
"chr11:12136053-12136690_21_+","chr11:12136053-12136690"
"chr11:12136053-12136690_19_+","chr11:12136053-12136690"
"chr11:12137837-12138530_39_-","chr11:12137837-12138530"
"chr11:12137837-12138530_6_+","chr11:12137837-12138530"
"chr11:12137837-12138530_33_+","chr11:12137837-12138530"
"chr11:12137837-12138530_9_+","chr11:12137837-12138530"
"chr11:12138953-12139093_4_-","chr11:12138953-12139093"
"chr11:12138953-12139093_3_-","chr11:12138953-12139093"
"chr11:12138953-12139093_1_-","chr11:12138953-12139093"
"chr11:12138953-12139093_4_+","chr11:12138953-12139093"
"chr11:12141155-12142012_61_+","chr11:12141155-12142012"
"chr11:12141155-12142012_55_+","chr11:12141155-12142012"
"chr11:12141155-12142012_42_+","chr11:12141155-12142012"
"chr11:12141155-12142012_37_+","chr11:12141155-12142012"
"chr11:12146244-12146797_6_-","chr11:12146244-12146797"
"chr11:12146244-12146797_24_-","chr11:12146244-12146797"
"chr11:12146244-12146797_29_-","chr11:12146244-12146797"
"chr11:12146244-12146797_20_-","chr11:12146244-12146797"
"chr11:12147034-12147515_17_+","chr11:12147034-12147515"
"chr11:12147034-12147515_1_-","chr11:12147034-12147515"
"chr11:12147034-12147515_10_-","chr11:12147034-12147515"
"chr11:12147034-12147515_29_+","chr11:12147034-12147515"
"chr11:12149262-12149491_13_+","chr11:12149262-12149491"
"chr11:12149262-12149491_12_+","chr11:12149262-12149491"
"chr11:12149262-12149491_7_+","chr11:12149262-12149491"
"chr11:12149262-12149491_2_-","chr11:12149262-12149491"
"chr11:12149855-12150372_12_-","chr11:12149855-12150372"
"chr11:12149855-12150372_3_+","chr11:12149855-12150372"
"chr11:12149855-12150372_13_-","chr11:12149855-12150372"
"chr11:12149855-12150372_15_-","chr11:12149855-12150372"
"chr11:12170559-12170971_28_+","chr11:12170559-12170971"
"chr11:12170559-12170971_30_+","chr11:12170559-12170971"
"chr11:12170559-12170971_33_+","chr11:12170559-12170971"
"chr11:12170559-12170971_29_+","chr11:12170559-12170971"
"chr11:12171088-12171815_2_+","chr11:12171088-12171815"
"chr11:12171088-12171815_1_+","chr11:12171088-12171815"
"chr11:12171088-12171815_11_+","chr11:12171088-12171815"
"chr11:12171088-12171815_40_+","chr11:12171088-12171815"
"chr11:12172468-12172915_22_+","chr11:12172468-12172915"
"chr11:12172468-12172915_21_-","chr11:12172468-12172915"
"chr11:12172468-12172915_23_+","chr11:12172468-12172915"
"chr11:12172468-12172915_9_+","chr11:12172468-12172915"
"chr11:12177730-12178164_20_+","chr11:12177730-12178164"
"chr11:12177730-12178164_43_+","chr11:12177730-12178164"
"chr11:12177730-12178164_3_+","chr11:12177730-12178164"
"chr11:12177730-12178164_36_+","chr11:12177730-12178164"
"chr11:12180519-12180794_12_-","chr11:12180519-12180794"
"chr11:12180519-12180794_23_-","chr11:12180519-12180794"
"chr11:12180519-12180794_10_-","chr11:12180519-12180794"
"chr11:12180519-12180794_7_-","chr11:12180519-12180794"
"chr11:12186761-12187077_14_-","chr11:12186761-12187077"
"chr11:12186761-12187077_7_+","chr11:12186761-12187077"
"chr11:12186761-12187077_15_+","chr11:12186761-12187077"
"chr11:12186761-12187077_16_+","chr11:12186761-12187077"
"chr11:12188491-12189333_36_-","chr11:12188491-12189333"
"chr11:12188491-12189333_54_-","chr11:12188491-12189333"
"chr11:12188491-12189333_29_+","chr11:12188491-12189333"
"chr11:12188491-12189333_14_+","chr11:12188491-12189333"
"chr11:12194229-12194506_5_+","chr11:12194229-12194506"
"chr11:12194229-12194506_4_+","chr11:12194229-12194506"
"chr11:12194229-12194506_14_+","chr11:12194229-12194506"
"chr11:12194229-12194506_4_-","chr11:12194229-12194506"
"chr11:12195932-12196389_14_-","chr11:12195932-12196389"
"chr11:12195932-12196389_7_-","chr11:12195932-12196389"
"chr11:12195932-12196389_4_-","chr11:12195932-12196389"
"chr11:12195932-12196389_2_-","chr11:12195932-12196389"
"chr11:12199305-12199705_20_-","chr11:12199305-12199705"
"chr11:12199305-12199705_16_+","chr11:12199305-12199705"
"chr11:12199305-12199705_14_+","chr11:12199305-12199705"
"chr11:12199305-12199705_7_+","chr11:12199305-12199705"
"chr11:12204118-12204899_35_-","chr11:12204118-12204899"
"chr11:12204118-12204899_47_-","chr11:12204118-12204899"
"chr11:12204118-12204899_41_-","chr11:12204118-12204899"
"chr11:12204118-12204899_27_-","chr11:12204118-12204899"
"chr11:12208984-12209410_23_+","chr11:12208984-12209410"
"chr11:12208984-12209410_13_-","chr11:12208984-12209410"
"chr11:12208984-12209410_14_-","chr11:12208984-12209410"
"chr11:12208984-12209410_2_+","chr11:12208984-12209410"
"chr11:12214563-12215128_17_+","chr11:12214563-12215128"
"chr11:12214563-12215128_15_-","chr11:12214563-12215128"
"chr11:12214563-12215128_32_-","chr11:12214563-12215128"
"chr11:12214563-12215128_18_+","chr11:12214563-12215128"
"chr11:12217371-12217845_10_+","chr11:12217371-12217845"
"chr11:12217371-12217845_26_+","chr11:12217371-12217845"
"chr11:12217371-12217845_9_+","chr11:12217371-12217845"
"chr11:12217371-12217845_12_-","chr11:12217371-12217845"
"chr11:12221151-12221593_37_-","chr11:12221151-12221593"
"chr11:12221151-12221593_38_-","chr11:12221151-12221593"
"chr11:12221151-12221593_36_-","chr11:12221151-12221593"
"chr11:12221151-12221593_20_-","chr11:12221151-12221593"
"chr11:12221871-12222007_4_-","chr11:12221871-12222007"
"chr11:12221871-12222007_2_+","chr11:12221871-12222007"
"chr11:12221871-12222007_8_+","chr11:12221871-12222007"
"chr11:12221871-12222007_6_-","chr11:12221871-12222007"
"chr11:12222411-12223323_58_+","chr11:12222411-12223323"
"chr11:12222411-12223323_38_-","chr11:12222411-12223323"
"chr11:12222411-12223323_24_+","chr11:12222411-12223323"
"chr11:12222411-12223323_4_-","chr11:12222411-12223323"
"chr11:12257923-12258363_2_-","chr11:12257923-12258363"
"chr11:12257923-12258363_16_-","chr11:12257923-12258363"
"chr11:12257923-12258363_5_-","chr11:12257923-12258363"
"chr11:12257923-12258363_14_-","chr11:12257923-12258363"
"chr11:12279982-12280444_3_+","chr11:12279982-12280444"
"chr11:12279982-12280444_3_-","chr11:12279982-12280444"
"chr11:12279982-12280444_16_+","chr11:12279982-12280444"
"chr11:12279982-12280444_20_-","chr11:12279982-12280444"
"chr11:12284537-12285359_7_+","chr11:12284537-12285359"
"chr11:12284537-12285359_55_-","chr11:12284537-12285359"
"chr11:12284537-12285359_20_+","chr11:12284537-12285359"
"chr11:12284537-12285359_37_-","chr11:12284537-12285359"
"chr11:12296108-12296775_23_+","chr11:12296108-12296775"
"chr11:12296108-12296775_54_+","chr11:12296108-12296775"
"chr11:12296108-12296775_17_+","chr11:12296108-12296775"
"chr11:12296108-12296775_16_+","chr11:12296108-12296775"
"chr11:12303301-12303734_27_-","chr11:12303301-12303734"
"chr11:12303301-12303734_25_+","chr11:12303301-12303734"
"chr11:12303301-12303734_22_+","chr11:12303301-12303734"
"chr11:12303301-12303734_24_-","chr11:12303301-12303734"
"chr11:12310133-12310473_10_-","chr11:12310133-12310473"
"chr11:12310133-12310473_11_-","chr11:12310133-12310473"
"chr11:12310133-12310473_7_+","chr11:12310133-12310473"
"chr11:12310133-12310473_17_+","chr11:12310133-12310473"
"chr11:12439474-12439782_15_+","chr11:12439474-12439782"
"chr11:12439474-12439782_2_+","chr11:12439474-12439782"
"chr11:12439474-12439782_15_-","chr11:12439474-12439782"
"chr11:12439474-12439782_14_+","chr11:12439474-12439782"
"chr11:12439919-12440287_2_-","chr11:12439919-12440287"
"chr11:12439919-12440287_26_+","chr11:12439919-12440287"
"chr11:12439919-12440287_30_-","chr11:12439919-12440287"
"chr11:12439919-12440287_7_+","chr11:12439919-12440287"
"chr11:12599133-12600214_45_+","chr11:12599133-12600214"
"chr11:12599133-12600214_17_-","chr11:12599133-12600214"
"chr11:12599133-12600214_31_+","chr11:12599133-12600214"
"chr11:12599133-12600214_13_-","chr11:12599133-12600214"
"chr11:12603382-12603940_39_-","chr11:12603382-12603940"
"chr11:12603382-12603940_32_-","chr11:12603382-12603940"
"chr11:12603382-12603940_38_-","chr11:12603382-12603940"
"chr11:12603382-12603940_1_-","chr11:12603382-12603940"
"chr11:12621027-12621412_16_-","chr11:12621027-12621412"
"chr11:12621027-12621412_11_-","chr11:12621027-12621412"
"chr11:12621027-12621412_15_-","chr11:12621027-12621412"
